Well,Well Position,Sample,Target,Replicate,Reporter,Quencher,Amp Status,Amp Score,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
68,F8,QA383P male,Cardinal,b,FAM,NFQ-MGB,AMP,1.53716543,29.37165804,0.96579143,29.30121498,0.111095536,FALSE,1.197016759,TRUE,3,18,59.97710037,,,,
68,F8,QA383P male,GAPDH,b,VIC,NFQ-MGB,AMP,1.485537632,20.04132775,0.988431686,19.9820945,0.086881158,FALSE,0.436806694,TRUE,9,14,59.97710037,,,,
69,F9,QA383P male,Cardinal,c,FAM,NFQ-MGB,AMP,1.544310227,29.17314653,0.957908879,29.30121498,0.111095536,FALSE,1.197016759,TRUE,11,19,60.19660187,,,,
69,F9,QA383P male,GAPDH,c,VIC,NFQ-MGB,AMP,1.491624885,19.88235725,0.991377083,19.9820945,0.086881158,FALSE,0.436806694,TRUE,9,14,60.19660187,,,,
79,G7,1759 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.594437578,26.87095867,0.967995469,26.87558852,0.053719274,FALSE,1.197016759,TRUE,3,19,60.19530106,,,,
79,G7,1759 fem,GAPDH,a,VIC,NFQ-MGB,AMP,1.476738029,24.27552035,0.989898572,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,63.79695129,,,,
80,G8,1759 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.593284406,26.93147287,0.96566302,26.87558852,0.053719274,FALSE,1.197016759,TRUE,11,19,59.97710037,,,,
80,G8,1759 fem,GAPDH,b,VIC,NFQ-MGB,AMP,1.475056332,24.35101719,0.991568637,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,64.29679871,,,,
81,G9,1759 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.600581071,26.82433401,0.970032057,26.87558852,0.053719274,FALSE,1.197016759,TRUE,11,19,60.19660187,,,,
81,G9,1759 fem,GAPDH,c,VIC,NFQ-MGB,AMP,1.483339777,24.25805129,0.991872765,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,60.19660187,,,,
91,H7,1759 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.600550592,27.31497718,0.94600176,27.35689578,0.040056883,FALSE,1.197016759,TRUE,13,20,59.97710037,,,,
91,H7,1759 male,GAPDH,a,VIC,NFQ-MGB,AMP,1.470785365,25.52574251,0.986704249,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,79.83119965,,,,
92,H8,1759 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.598334501,27.36092354,0.950476983,27.35689578,0.040056883,FALSE,1.197016759,TRUE,14,20,59.97710037,,,,
92,H8,1759 male,GAPDH,b,VIC,NFQ-MGB,AMP,1.469270144,25.5115371,0.990209453,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,59.97710037,,,,
93,H9,1759 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.596558558,27.39478662,0.969393799,27.35689578,0.040056883,FALSE,1.197016759,TRUE,12,20,60.19660187,,,,
93,H9,1759 male,GAPDH,c,VIC,NFQ-MGB,AMP,1.469203841,25.5215956,0.990927129,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,59.97909927,,,,
95,H11,NTC,Cardinal,,FAM,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,1.197016759,TRUE,3,39,86.09519958,,,,
95,H11,NTC,GAPDH,,VIC,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,0.436806694,TRUE,3,39,77.68379974,,,,
